File No.,Parameter,Computed,Ground Truth
70273026451,Sea Level Pressure,29.56519075144508,29.56
70273026451,Sea Level Pressure,29.69605363984674,29.7
70273026451,Sea Level Pressure,29.882857142857173,29.88
70273026451,Sea Level Pressure,29.72943914081149,29.73
70273026451,Sea Level Pressure,29.885300230946942,29.89
70273026451,Sea Level Pressure,29.89738295318121,29.9
70273026451,Sea Level Pressure,30.041215277777884,30.04
70273026451,Sea Level Pressure,29.87906759906756,29.88
70273026451,Sea Level Pressure,29.6595054282267,29.66
70273026451,Sea Level Pressure,29.872025462962977,29.87
70273026451,Station Pressure,29.420571679859243,29.41
70273026451,Station Pressure,29.51931088488644,29.54
70273026451,Station Pressure,29.71795961742825,29.73
70273026451,Station Pressure,29.56465092402465,29.58
70273026451,Station Pressure,29.726119873817044,29.73
70273026451,Station Pressure,29.748271334792136,29.75
70273026451,Station Pressure,29.897876106194705,29.9
70273026451,Station Pressure,29.72126789366057,29.73
70273026451,Station Pressure,29.50446695095951,29.52
70273026451,Station Pressure,29.679064449064427,29.72
72204012838,Sea Level Pressure,30.12616935483868,30.12
72204012838,Sea Level Pressure,30.12877976190478,30.13
72204012838,Sea Level Pressure,30.05724462365585,30.06
72204012838,Sea Level Pressure,29.983212795549324,29.98
72204012838,Sea Level Pressure,29.95893817204299,29.96
72204012838,Sea Level Pressure,29.897874999999978,29.9
72204012838,Sea Level Pressure,30.022701612903305,30.02
72204012838,Sea Level Pressure,29.95334677419356,29.95
72204012838,Sea Level Pressure,29.956486111111047,29.96
72204012838,Sea Level Pressure,29.941088709677416,29.94
72204012838,Sea Level Pressure,30.027930555555507,30.03
72204012838,Station Pressure,30.095016648168706,30.09
72204012838,Station Pressure,30.102169696969707,30.1
72204012838,Station Pressure,30.02200239808156,30.03
72204012838,Station Pressure,29.9496875,29.96
72204012838,Station Pressure,29.92276344086027,29.93
72204012838,Station Pressure,29.866716259298627,29.87
72204012838,Station Pressure,29.99725330620545,29.99
72204012838,Station Pressure,29.9245255474452,29.93
72204012838,Station Pressure,29.929628055260363,29.93
72204012838,Station Pressure,29.90532423208198,29.91
72204012838,Station Pressure,29.97227497527203,29.99
72220012832,Sea Level Pressure,30.12501154734408,30.12
72220012832,Sea Level Pressure,30.126960408684475,30.13
72220012832,Sea Level Pressure,30.065556872037963,30.12
72220012832,Sea Level Pressure,29.99929802955662,30.0
72220012832,Sea Level Pressure,29.97462340672076,29.97
72220012832,Sea Level Pressure,29.88054151624548,29.88
72220012832,Sea Level Pressure,30.00872537659325,30.01
72220012832,Sea Level Pressure,29.93932947976872,29.94
72220012832,Sea Level Pressure,29.96957831325297,29.97
72220012832,Sea Level Pressure,29.98763615295477,29.98
72220012832,Sea Level Pressure,30.086019210245464,30.09
72220012832,Station Pressure,30.090033641715724,30.1
72220012832,Station Pressure,30.101428571428592,30.11
72220012832,Station Pressure,30.04244990892532,30.11
72220012832,Station Pressure,29.977935684647328,29.98
72220012832,Station Pressure,29.954927983539125,29.95
72220012832,Station Pressure,29.861135707410924,29.86
72220012832,Station Pressure,29.991626794258384,29.98
72220012832,Station Pressure,29.915339233038253,29.91
72220012832,Station Pressure,29.956130952380924,29.95
72220012832,Station Pressure,29.95520474137932,29.96
72220012832,Station Pressure,30.05669779286928,30.06
72241612971,Sea Level Pressure,30.05553162853297,30.05
72241612971,Sea Level Pressure,30.069122023809584,30.07
72241612971,Sea Level Pressure,29.958805970149267,29.96
72241612971,Sea Level Pressure,29.92817548746514,29.93
72241612971,Sea Level Pressure,29.91115569823437,29.91
72241612971,Sea Level Pressure,29.800993883792035,29.8
72241612971,Sea Level Pressure,29.94554,29.94
72241612971,Sea Level Pressure,29.90177419354834,29.9
72241612971,Sea Level Pressure,29.907263888888885,29.91
72241612971,Sea Level Pressure,29.974032258064497,29.97
72241612971,Sea Level Pressure,30.09218055555555,30.09
72241612971,Station Pressure,29.356183348924244,29.36
72241612971,Station Pressure,29.377553290083373,29.39
72241612971,Station Pressure,29.261970740103312,29.28
72241612971,Station Pressure,29.24872947277433,29.25
72241612971,Station Pressure,29.24337199668598,29.23
72241612971,Station Pressure,29.149369918699165,29.14
72241612971,Station Pressure,29.283174250832445,29.28
72241612971,Station Pressure,29.24829411764703,29.24
72241612971,Station Pressure,29.249672514619835,29.24
72241612971,Station Pressure,29.2817850637523,29.3
72241612971,Station Pressure,29.36151724137929,29.41
72281353146,Sea Level Pressure,29.96642375168693,29.97
72281353146,Sea Level Pressure,29.95354790419159,29.95
72281353146,Sea Level Pressure,29.88133514986373,29.88
72281353146,Sea Level Pressure,29.818431372549032,29.82
72281353146,Sea Level Pressure,29.80395663956643,29.8
72281353146,Sea Level Pressure,29.780000000000044,29.78
72281353146,Sea Level Pressure,29.8447908232119,29.84
72281353146,Sea Level Pressure,29.869900709219863,29.87
72281353146,Sea Level Pressure,29.85058495821725,29.85
72281353146,Sea Level Pressure,29.8258186738836,29.82
72281353146,Sea Level Pressure,29.938788732394368,29.94
72281353146,Sea Level Pressure,29.99792915531339,30.0
72281353146,Station Pressure,25.24544242424244,25.27
72281353146,Station Pressure,25.227095990279484,25.25
72281353146,Station Pressure,25.21430000000001,25.22
72281353146,Station Pressure,25.21625344352621,25.22
72281353146,Station Pressure,25.22903267973858,25.22
72281353146,Station Pressure,25.23695473251033,25.24
72281353146,Station Pressure,25.31384030418253,25.31
72281353146,Station Pressure,25.32209923664124,25.32
72281353146,Station Pressure,25.299972714870435,25.3
72281353146,Station Pressure,25.245500000000032,25.25
72281353146,Station Pressure,25.294538043478305,25.3
72281353146,Station Pressure,25.29775240384616,25.32
72290303131,Sea Level Pressure,30.07522849462361,30.08
72290303131,Sea Level Pressure,30.068452380952337,30.07
72290303131,Sea Level Pressure,30.05093959731544,30.05
72290303131,Sea Level Pressure,29.99176388888887,29.99
72290303131,Sea Level Pressure,29.968239247311764,29.97
72290303131,Sea Level Pressure,29.947541666666663,29.95
